"airportName","state","aid","airportCode"
"AURORA MUNICIPAL ARPT","Illinois",500,"none"
"RICKENBACKER INTL","Ohio",501,"none"
"SANTIAGO CIBAO INTL","N/A",502,"none"
"NORTH CENTRAL WEST VIRGINIA ARPT","West Virginia",503,"none"
"KONGIGANAK ARPT","Alaska",504,"none"
"WESTERLY STATE ARPT","Rhode Island",505,"none"
"CAPE GIRARDEAU MUNICIPAL","Missouri",506,"none"
"KALAELOA ARPT JOHN RODGERS FIELD","Hawaii",507,"none"
"JUAN SANTAMARIA INTL","N/A",508,"none"
"ERNEST A LOVE FIELD","Arizona",509,"none"
"SANTA FE DE BOGOTA","N/A",510,"none"
"KENDALL-TAMIAMI EXECUTIVE ARPT","Florida",511,"none"
"GRAND RAPIDS/ITASCA COUNTY ARPT","Minnesota",512,"none"
"ADDINGTON FIELD ARPT","Kentucky",513,"none"
"WILLMAR MUNICIPAL","Minnesota",514,"none"
"MC ALLEN MILLER INTL","Texas",515,"none"
"PALESTINE MUNICIPAL ARPT","Texas",516,"none"
"WHEELER-SACK ARMY AIRFIELD","New York",517,"none"
"CLEVELAND MUNICIPAL ARPT","Mississippi",518,"none"
"DEMOPOLIS MUNICIPAL ARPT","Alabama",519,"none"
"NEW CENTURY AIRCENTER ARPT","Kansas",520,"none"
"FORT DODGE REGIONAL","Iowa",521,"none"
"ARNOLD PALMER REGIONAL","Pennsylvania",522,"none"
"BRANSON ARPT","Missouri",523,"none"
"LAREDO INTL","Texas",524,"none"
"FRIDAY HARBOR ARPT","Washington",525,"none"
"WENDOVER ARPT","Utah",526,"none"
"ROBT L BRADSHAW INTL","N/A",527,"none"
"ALTOONA-BLAIR COUNTY","Pennsylvania",528,"none"
"REDDING MUNICIPAL","California",529,"none"
"BILLINGS LOGAN INTL","Montana",530,"none"
"PHOENIX-MESA GATEWAY","Arizona",531,"none"
"COLD BAY ARPT","Alaska",532,"none"
"RAFAEL HERNANDEZ ARPT","N/A",533,"none"
"DELTA COUNTY ARPT","Michigan",534,"none"
"BOWERMAN ARPT","Washington",535,"none"
"KEY FLD","Mississippi",536,"none"
"BELLEVILLE MUNICIPAL","Kansas",537,"none"
"MONROE COUNTY","Indiana",538,"none"
"COLUMBIA REGIONAL","Missouri",539,"none"
"FORT WORTH SPINKS ARPT","Texas",540,"none"
"PUNTA GORDA ARPT","Florida",541,"none"
"DULUTH INTL ARPT","Minnesota",542,"none"
"WILLIAM B HEILIG FIELD","Nebraska",543,"none"
"PHOENIX GOODYEAR ARPT","Arizona",544,"none"
"JAMES CLEMENTS MUNICIPAL ARPT","Michigan",545,"none"
"ALEXANDRIA INTL","Louisiana",546,"none"
"GARY CHICAGO INTL","Indiana",547,"none"
"CAPE COD COAST GUARD AIR STATION","Massachusetts",548,"none"
"GREENVILLE DOWNTOWN ARPT","South Carolina",549,"none"
"RIO VISTA MUNICIPAL ARPT","California",550,"none"
"ELIZABETHTON MUNICIPAL ARPT","Tennessee",551,"none"
"PRYOR FIELD REGIONAL ARPT","Alabama",552,"none"
"DANIEL ODUBER QUIROS INTL","N/A",553,"none"
"CHARLES B WHEELER DOWNTOWN ARPT","Missouri",554,"none"
"KUNSAN","N/A",555,"none"
"TEHACHAPI MUNICIPAL ARPT","California",556,"none"
"BARKLEY REGIONAL ARPT","Kentucky",557,"none"
"JACQUELINE COCHRAN REGIONAL ARPT","California",558,"none"
"BARROW COUNTY ARPT","Georgia",559,"none"
"HAYWARD EXECUTIVE ARPT","California",560,"none"
"TUPELO MUNICIPAL","Mississippi",561,"none"
"MIDDLETON MUNI MOREY FIELD","Wisconsin",562,"none"
"FIUMICINO ARPT","N/A",563,"none"
"WACO REGIONAL ARPT","Texas",564,"none"
"LIEGE ARPT","N/A",565,"none"
"CHESTERFIELD COUNTY ARPT","Virginia",566,"none"
"CASTLE ARPT","California",567,"none"
"SKAGIT REGIONAL","Washington",568,"none"
"SIMON BOLIVAR INTL","N/A",569,"none"
"MERRILL FIELD ARPT","Alaska",570,"none"
"GRAND CANYON NATIONAL","Arizona",571,"none"
"LA ROMANA INTL","N/A",572,"none"
"REID-HILLVIEW ARPT OF SANTA CLARA CNTY","California",573,"none"
"BERZ-MACOMB ARPT","Michigan",574,"none"
"FLYING CLOUD ARPT","Minnesota",575,"none"
"SOUTHWEST MINNESOTA REGIONAL ARPT","Minnesota",576,"none"
"BEMIDJI REGIONAL ARPT","Minnesota",577,"none"
"SPENCER MUNICIPAL AIRPORT","Iowa",578,"none"
"GREATER PORTSMOUTH REGIONAL ARPT","Ohio",579,"none"
"TOMPKINS COUNTY ARPT","New York",580,"none"
"GREGG COUNTY ARPT","Texas",581,"none"
"GREENBRIER VALLEY ARPT","West Virginia",582,"none"
"WILEY POST ARPT","Oklahoma",583,"none"
"VIRU VIRU INTL","N/A",584,"none"
"ERNESTO CORTISSOZ","N/A",585,"none"
"LIMA ALLEN COUNTY","Ohio",586,"none"
"MERLE K (MUDHOLE) SMITH ARPT","Alaska",587,"none"
"SOUTHWEST MICHIGAN REGIONAL","Michigan",588,"none"
"TACOMA NARROWS ARPT","Washington",589,"none"
"MATHIS FIELD (TX)","Texas",590,"none"
"GREENWOOD MUNICIPAL ARPT","Indiana",591,"none"
"PIARCO TRINIDAD","N/A",592,"none"
"FAIRMONT MUNICIPAL ARPT","Minnesota",593,"none"
"LA AURORA","N/A",594,"none"
"NAPLES MUNICIPAL","Florida",595,"none"
"HOUSTON GULF ARPT","Texas",596,"none"
"MORAN FIELD ARPT","Maryland",597,"none"
"MASON COUNTY ARPT (MI)","Michigan",598,"none"
"PUERTO PLATA INTL","N/A",599,"none"
"ASHTABULA COUNTY","Ohio",600,"none"
"COLEMAN A YOUNG MUNICIPAL ARPT","Michigan",601,"none"
"MANSFIELD LAHM MUNICIPAL","Ohio",602,"none"
"LYNDEN PINDLING INTL ARPT","N/A",603,"none"
"HERLONG ARPT","Florida",604,"none"
"CAPT FEAR REGIONAL JETPORT","North Carolina",605,"none"
"CARRABELLE-THOMPSON","Florida",606,"none"
"FRANCIS S GABRESKI ARPT","New York",607,"none"
"HAWKINS ARPT","Missouri",608,"none"
"HEMET-RYAN ARPT","California",609,"none"
"CUBA MUNICIPAL ARPT","Missouri",610,"none"
"PAGE FIELD ARPT","Florida",611,"none"
"MERRILL C MEIGS ARPT","Illinois",612,"none"
"LOS CABOS INTL","N/A",613,"none"
"DECATUR ARPT","Illinois",614,"none"
"TERRE HAUTE INTL ARPT-HULMAN FIELD","Indiana",615,"none"
"TOLUCA/LIC ADOLFO","N/A",616,"none"
"CHARLOTTESVILLE-ALBEMARLE ARPT","Virginia",617,"none"
"ELKHART MUNICIPAL ARPT","Indiana",618,"none"
"KINSTON REGL JETPORT","North Carolina",619,"none"
"SIGONELLA","N/A",620,"none"
"MT PLEASANT MUNICIPAL ARPT","Michigan",621,"none"
"LIBERAL MUNICIPAL","Kansas",622,"none"
"NORFOLK REGIONAL ARPT","Nebraska",623,"none"
"ESSEX COUNTY AIRPORT","New Jersey",624,"none"
"DANVILLE REGIONAL ARPT","Virginia",625,"none"
"COLUMBUS MUNICIPAL ARPT (NE)","Nebraska",626,"none"
"GUANAJUATO DEL BAJIO INTL","N/A",627,"none"
"SAN LUIS COUNTY REGIONAL ARPT","California",628,"none"
"PALMDALE REGIONAL ARPT","California",629,"none"
"STOCKTON METRO","California",630,"none"
"GUNNISON COUNTY","Colorado",631,"none"
"LLANO MUNICIPAL ARPT","Texas",632,"none"
"CHARLOTTE-MONROE  EXECUTIVE ARPT","North Carolina",633,"none"
"OWEN ROBERTS INTL","N/A",634,"none"
"W K KELLOGG ARPT","Michigan",635,"none"
"FORT WORTH ALLIANCE","Texas",636,"none"
"ALBERT WHITTED","Florida",637,"none"
"STELLAR AIRPARK","Arizona",638,"none"
"DESTIN-FORT WALTON BEACH ARPT","Florida",639,"none"
"CALGARY INTL","Alberta",640,"none"
"DELAWARE COUNTY REGIONAL ARPT","Indiana",641,"none"
"YAKIMA AIR TERMINAL","Washington",642,"none"
"RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT","North Carolina",643,"none"
"DAVID'S ARPT","Michigan",644,"none"
"BUFFALO AIRFIELD ARPT","New York",645,"none"
"HAWKINS FIELD ARPT","Mississippi",646,"none"
"ASHE COUNTY","North Carolina",647,"none"
"NORTH PLATTE REGIONAL","Nebraska",648,"none"
"GATWICK - LONDON","N/A",649,"none"
"CLARK COUNTY REGIONAL ARPT (IN)","Indiana",650,"none"
"TIANJIN (CHINA)","N/A",651,"none"
"BENITO JUAREZ INTL","N/A",652,"none"
"KENT STATE UNIVERSITY","Ohio",653,"none"
"CORTEZ MUNICIPAL ARPT","Colorado",654,"none"
"SANTA MARIA PUBLIC","California",655,"none"
"SANTA FE MUNICIPAL","New Mexico",656,"none"
"MANITOWOC COUNTY ARPT","Wisconsin",657,"none"
"LAKE HAVASU CITY ARPT","Arizona",658,"none"
"BARNES MUNICIPAL ARPT","Massachusetts",659,"none"
"FORD ARPT","Michigan",660,"none"
"PROVO MUNICIPAL ARPT","Utah",661,"none"
"FOUR CORNERS REGIONAL","New Mexico",662,"none"
"DELAND MUNICIPAL ARPT","Florida",663,"none"
"FORBES FIELD AIRPORT","Kansas",664,"none"
"H L SONNY CALLAHAN ARPT","Alabama",665,"none"
"WM FAIRCHILD INTL ARPT","Washington",666,"none"
"MID-DELTA REGIONAL","Mississippi",667,"none"
"ANN ARBOR MUNICIPAL","Michigan",668,"none"
"TSTC WACO","Texas",669,"none"
"ST. CLOUD REGIONAL","Minnesota",670,"none"
"FAYETTVILLE MUNICIPAL","North Carolina",671,"none"
"BESSEMER ARPT","Alabama",672,"none"
"BRENNER FIELD ARPT","Nebraska",673,"none"
"ANNISTON METROPOLITAN ARPT","Alabama",674,"none"
"COZUMEL MEXICO","N/A",675,"none"
"BLOCK ISLAND STATE","Rhode Island",676,"none"
"CLEARVIEW AIRPARK","Maryland",677,"none"
"MUIR ARMY AIRFIELD","Pennsylvania",678,"none"
"LAKE IN THE HILLS","Illinois",679,"none"
"LOUISA COUNTY ARPT/FREEMAN FLD","Virginia",680,"none"
"MEADOW LAKE ARPT","Colorado",681,"none"
"JOHN F KENNEDY MEMORIAL","Wisconsin",682,"none"
"TYONEK ARPT","Alaska",683,"none"
"PEARLAND REGIONAL ARPT","Texas",684,"none"
"HURON REGIONAL ARPT","South Dakota",685,"none"
"NORTH LAS VEGAS","Nevada",686,"none"
"SOUTHBRIDGE MUNICIPAL ARPT","Massachusetts",687,"none"
"LARAMIE REGIONAL","Wyoming",688,"none"
"HAMILTON ISLAND","N/A",689,"none"
"JOHNSTON ATOLL ARPT","Prince Edward Island",690,"none"
"ROSEAU MUNI ARPT/RUDY BILLBERG FLD","Minnesota",691,"none"
"GAINESVILLE MUNICIPAL ARPT","Texas",692,"none"
"LITCHFIELD MUNICIPAL","Illinois",693,"none"
"GRIFFING SANDUSKY ARPT","Ohio",694,"none"
"PUT IN BAY","Ohio",695,"none"
"WALDRONAIRE ARPT","Washington",696,"none"
"SANTA MONICA MUNICIPAL","California",697,"none"
"GREATER KANKAKEE ARPT","Illinois",698,"none"
"GREELEY-WELD COUNTY ARPT","Colorado",699,"none"
"ST. GEORGE  ARPT (AK)","Alaska",700,"none"
"WORTHINGTON MUNICIPAL ARPT","Minnesota",701,"none"
"BEAVER COUNTY ARPT","Pennsylvania",702,"none"
"OHIO UNIVERSITY ARPT","Ohio",703,"none"
"WINGS FIELD ARPT","Pennsylvania",704,"none"
"RIVERTON REGIONAL","Wyoming",705,"none"
"GILLETTE CAMPBELL CO","Wyoming",706,"none"
"EDWARDS AIR FORCE BASE","California",707,"none"
"EMMONAK ARPT","Alaska",708,"none"
"BANGOR INTL","Maine",709,"none"
"CHESTER ARPT","Connecticut",710,"none"
"LYNCHBURG REGIONAL","Virginia",711,"none"
"SPACE COAST REGIONAL","Florida",712,"none"
"SIDNEY MUNICIPAL AR[T","Nebraska",713,"none"
"PAGO PAGO INTL","Prince Edward Island",714,"none"
"GNOSS FIELD ARPT","California",715,"none"
"SCOTTSDALE ARPT","Arizona",716,"none"
"GARDEN CITY REGIONAL","Kansas",717,"none"
"INCHEON INTL","N/A",718,"none"
"PAGE MUNICIPAL","Arizona",719,"none"
"MILLVILLE MUNICIPAL ARPT","New Jersey",720,"none"
"ROSTRAVER","Pennsylvania",721,"none"
"MCCORD FIELD ARPT","Washington",722,"none"
"DYERSBURG REGIONAL ARPT","Tennessee",723,"none"
"ARCATA AIRPORT","California",724,"none"
"T B LETTSOME INTL","N/A",725,"none"
"ORCAS ISLAND ARPT","Washington",726,"none"
"OLYMPIA ARPT","Washington",727,"none"
"ATHENS/BEN EPPS ARPT","Georgia",728,"none"
"FREEPORT INTL","N/A",729,"none"
"SAWYER INTL","Michigan",730,"none"
"PORT-AU-PRINCE INTL","N/A",731,"none"
"BIG PINEY-MARBLETON","Wyoming",732,"none"
"DEADHORSE ARPT","Alaska",733,"none"
"OGDEN-HINCKLEY ARPT","Utah",734,"none"
"MIDDLE BASS-EAST POINT","Ohio",735,"none"
"MEADOWS FIELD ARPT","California",736,"none"
"NEWTOK ARPT","Alaska",737,"none"
"LT WARREN EATON ARPT","New York",738,"none"
"DAVID WAYNE HOOKS MEMORIAL ARPT","Texas",739,"none"
"HOUSTON-SOUTHWEST ARPT","Texas",740,"none"
"MANKATO REGIONAL ARPT","Minnesota",741,"none"
"PETERSBURG JAMES A JOHNSON ARPT","Alaska",742,"none"
"MUSKEGON COUNTY ARPT","Michigan",743,"none"
"CREVE COEUR ARPT","Missouri",744,"none"
"FLAGSTAFF PULLIAM","Arizona",745,"none"
"ADIRONDAK REGIONAL ARPT","New York",746,"none"
"OCEAN CITY MUNICIPAL  ARPT (MD)","Maryland",747,"none"
"AUBURN-LEWISTON MUNICIPAL","Maine",748,"none"
"CARROLL COUNTY-TOLSON ARPT","Ohio",749,"none"
"MIAMI COUNTY ARPT","Kansas",750,"none"
"INCIRLIK AIR BASE","N/A",751,"none"
"CAMARILLO","California",752,"none"
"RYAN FIELD ARPT","Arizona",753,"none"
"ORANJESTAD/REINA BEA","N/A",754,"none"
"BELIZE INTERNATIONAL ARPT","N/A",755,"none"
"MANDAN MUNICIPAL","North Dakota",756,"none"
"CHICO MUNICIPAL ARPT","California",757,"none"
"DUBOIS REGIONAL ARPT","Pennsylvania",758,"none"
"LEESBURG EXECUTIVE ARPT","Virginia",759,"none"
"PORTLAND-TROUTDALE ARPT","Oregon",760,"none"
"HOUSTON MEMORIAL ARPT","Missouri",761,"none"
"BARCELONA ARPT","N/A",762,"none"
"SHREVEPORT DOWNTOWN ARPT","Louisiana",763,"none"
"MELVILLE HALL AIRPORT","N/A",764,"none"
"LENAWEE COUNTY ARPT","Michigan",765,"none"
"DOUBLE EAGLE II ARPT","New Mexico",766,"none"
"CEDAR MILLS","Texas",767,"none"
"PRICE COUNTY ARPT","Wisconsin",768,"none"
"HATTIESBURG-LAUREL","Mississippi",769,"none"
"SOUTHERN ILLINOIS","Illinois",770,"none"
"ROLLA NATIONAL ARPT","Missouri",771,"none"
"RUTLAND STATE ARPT","Vermont",772,"none"
"ALBERT LEA MUNICIPAL ARPT","Minnesota",773,"none"
"MOUNT HAWLEY","Illinois",774,"none"
"FRENCH LICK MUNICIPAL ARPT","Indiana",775,"none"
"QUINCY REGIONAL ARPT - BALDWIN FLD","Illinois",776,"none"
"SPRINGFIELD BECKLEY MUNICIPAL","Ohio",777,"none"
"PROVIDENCIALES INTL","N/A",778,"none"
"ANDERSON REGIONAL","South Carolina",779,"none"
"OCEAN REEF CLUB","Florida",780,"none"
"MANSFIELD MUNICIPAL","Massachusetts",781,"none"
"CHIPPEWA COUNTY INTL ARPT","Michigan",782,"none"
"CHEFORNAK ARPT","Alaska",783,"none"
"MARCO ISLAND ARPT","Florida",784,"none"
"SALINAS MUNICIPAL ARPT","California",785,"none"
"SUNDANCE AIRPARK","Oklahoma",786,"none"
"HUSLIA ARPT","Alaska",787,"none"
"JASPER COUNTY ARPT-BELL FIELD","Texas",788,"none"
"LAWRENCE MUNICIPAL ARPT (MA)","Massachusetts",789,"none"
"GUADALAJARA, MEXICO","N/A",790,"none"
"ROTA","N/A",791,"none"
"JACK MCNAMARA FLD","California",792,"none"
"COLLIN COUNTY RGNL ARPT AT MCKINNEY","Texas",793,"none"
"COTE D AZUR","N/A",794,"none"
"NORTHAMPTON ARPT","Massachusetts",795,"none"
"FAIRMONT MUNI-FRANKMAN FLD","West Virginia",796,"none"
"KONA INTL ARPT","Hawaii",797,"none"
"BRANDYWINE ARPT","Pennsylvania",798,"none"
"SKYHAVEN","Missouri",799,"none"
"HEATHROW - LONDON","N/A",800,"none"
"WINONA MUNICIPAL ARPT","Minnesota",801,"none"
"CROOKSTON MUNI ARPT-KIRKWOOD FIELD","Minnesota",802,"none"
"SOUTH VALLEY REGIONAL ARPT","Utah",803,"none"
"KICKAPOO DOWNTOWN ARPT","Texas",804,"none"
"LAKE HOOD (SPB)","Alaska",805,"none"
"CLINTON COUNTY ARPT","New York",806,"none"
"MADISONVILLE MUNICIPAL","Kentucky",807,"none"
"MASSEY RANCH AIRPARK","Florida",808,"none"
"ROBT J MILLER AIR PARK","New Jersey",809,"none"
"PETER O KNIGHT ARPT","Florida",810,"none"
"PALM BEACH COUNTY PARK ARPT","Florida",811,"none"
"VENANGO REGIONAL","Pennsylvania",812,"none"
"FRIEDMAN MEMORIAL","Idaho",813,"none"
"SOUTHWEST WASHINGTON REGIONAL ARPT","Washington",814,"none"
"RIVERSIDE MUNICIPAL ARPT","California",815,"none"
"ISLESBORO","Maine",816,"none"
"IOWA FALLS MUNICIPAL ARPT","Iowa",817,"none"
"FELTS FIELD ARPT","Washington",818,"none"
"DENTON MUNICIPAL ARPT","Texas",819,"none"
"MARIANNA MUNICIPAL ARPT","Florida",820,"none"
"COLOGNE-BONN","N/A",821,"none"
"MCCOOK MUNICIPAL ARPT","Nebraska",822,"none"
"KANSAI INTL","N/A",823,"none"
"BAIYUN AIRPORT","N/A",824,"none"
"HANCOCK COUNTY-BAR HARBOR","Maine",825,"none"
"FERGUS FALLS MUNICIPAL ARPT","Minnesota",826,"none"
"ANKENY REGIONAL","Iowa",827,"none"
"BAUDETTE INTL ARPT","Minnesota",828,"none"
"DALLAS EXECUTIVE ARPT","Texas",829,"none"
"MURFREESBORO MUNICIPAL ARPT","Tennessee",830,"none"
"SPRINGERVILLE MUNICIPAL","Arizona",831,"none"
"LAUGHLIN BULLHEAD INTL","Arizona",832,"none"
"UNIV OF OKLAHOMA WESTHEIMER ARPT","Oklahoma",833,"none"
"TREVISO ARPT","N/A",834,"none"
"OGDENSBURG INTL ARPT","New York",835,"none"
"PINE MOUNTAIN LAKE ARPT","California",836,"none"
"VIRACOPOS-CAMPINAS INTL ARPT","N/A",837,"none"
"FRONT RANGE ARPT","Colorado",838,"none"
"HARTFORD-BRAINARD ARPT","Connecticut",839,"none"
"FRANKLIN FIELD ARPT","California",840,"none"
"MUNICH INTL ARPT","N/A",841,"none"
"BOMBAY/MUMBAI","N/A",842,"none"
"PETER PRINCE FIELD ARPT","Florida",843,"none"
"WEST BRANCH COMMUNITY ARPT","Michigan",844,"none"
"KINGMAN","Arizona",845,"none"
"HONG KONG INTL","N/A",846,"none"
"FERIHEGY ARPT","N/A",847,"none"
"MALMO-STURUP ARPT","N/A",848,"none"
"PONCA CITY MUNICIPAL ARPT","Oklahoma",849,"none"
"KNOXVILLE DOWNTOWN ISLAND ARPT","Tennessee",850,"none"
"ONA AIRPARK ARPT","West Virginia",851,"none"
"DANIEL FIELD ARPT","Georgia",852,"none"
"DOVER AIR FORCE BASE","Delaware",853,"none"
"JOHN H BATTEN ARPT","Wisconsin",854,"none"
"BERMUDA DUNES ARPT","California",855,"none"
"MASON CITY MUNICIPAL","Iowa",856,"none"
"TONCONTIN INTL","N/A",857,"none"
"VALENCIA AIRPORT","N/A",858,"none"
"KENAI MUNICIPAL ARPT","Alaska",859,"none"
"GENERAL IGNACIO P GARCIA INTL","N/A",860,"none"
"SUBIC BAY INTL","N/A",861,"none"
"SUNRIVER","Oregon",862,"none"
"ST. LUCIA-VIGIE","N/A",863,"none"
"CHANDLER MUNICIPAL ARPT","Arizona",864,"none"
"JEFFERSON COUNTY INTL","Washington",865,"none"
"MADISON COUNTY ARPT","Ohio",866,"none"
"NEWARK-HEATH ARPT","Ohio",867,"none"
"DODGE CITY REGIONAL ARPT","Kansas",868,"none"
"PALO ALTO ARPT OF SANTA CLARA COUNTY","California",869,"none"
"GRATIOT COMMUNITY","Michigan",870,"none"
"LEIPZIG-HALLE","N/A",871,"none"
"NORTHERN MAINE REGIONAL","Maine",872,"none"
"GREENWOOD LAKE ARPT","New Jersey",873,"none"
"HAYS REGIONAL","Kansas",874,"none"
"CUSTER ARPT","Michigan",875,"none"
"VIENNA INTL","N/A",876,"none"
"M GRAHAM CLARK - TANEY COUNTY ARPT","Missouri",877,"none"
"RAMONA ARPT","California",878,"none"
"KILLEEN/FT HOOD REGIONAL","Texas",879,"none"
"RICHARD I BONG ARPT","Wisconsin",880,"none"
"TRIPLE W ARPT","North Carolina",881,"none"
"WINSTON FIELD ARPT","Texas",882,"none"
"EDWARD F KNAPP STATE ARPT","Vermont",883,"none"
"LEESBURG INTL ARPT","Florida",884,"none"
"ANIMAS AIR PARK","Colorado",885,"none"
"LAKE CITY MUNICIPAL ARPT","Florida",886,"none"
"CRYSTAL ARPT","Minnesota",887,"none"
"FRANKFURT MAIN","N/A",888,"none"
"ST GEORGE MUNICIPAL ARPT","Utah",889,"none"
"SOLDOTNA AIRPORT","Alaska",890,"none"
"GILLESPIE COUNTY","Texas",891,"none"
"MARCH ARB ARPT","California",892,"none"
"HENRI COANDA INTL ARPT","N/A",893,"none"
"BROOKS COUNTY","Texas",894,"none"
"FARMINGTON REGIONAL","Missouri",895,"none"
"MIDDLE PENINSULA REGIONAL ARPT","Virginia",896,"none"
"CLAYTON COUNTY ARPT- TARA FIELD","Georgia",897,"none"
"PATUXENT RIVER NAS","Maryland",898,"none"
"PENANG INTL","N/A",899,"none"
"GENESEE COUNTY ARPT","New York",900,"none"
"GRANTLEY ADAMS BARBA","N/A",901,"none"
"WASHINGTON COUNTY","Pennsylvania",902,"none"
"STANSTEAD-LONDON","N/A",903,"none"
"ANDREWS AIR FORCE BASE","Maryland",904,"none"
"FLAGLER COUNTY ARPT","Florida",905,"none"
"GUARULHOS INTL","N/A",906,"none"
"BERT MOONEY","Montana",907,"none"
"DICKINSON-THEODORE ROOSEVELT RGNL","North Dakota",908,"none"
"JOSE MARIA CORDOVE ARPT","N/A",909,"none"
"FESTUS MEMORIAL ARPT","Missouri",910,"none"
"STUTTGART GERMANY","N/A",911,"none"
"PERRY COUNTY MUNICIPAL","Indiana",912,"none"
"EASTERN OREGON REGIONAL ARPT","Oregon",913,"none"
"DAKAY-YOFF-LEOPOLD SEDAR SENGHOR","N/A",914,"none"
"GLENDALE MUNICIPAL ARPT","Arizona",915,"none"
"FOWLER ARPT","Colorado",916,"none"
"HEBER CITY MUNICIPAL","Utah",917,"none"
"PEARSON FIELD ARPT","Washington",918,"none"
"NORTH PALM BEACH CNTY GEN AVTN","Florida",919,"none"
"RIYAHD AIR BASE","N/A",920,"none"
"LAWRENCE J TIMMERMAN ARPT","Wisconsin",921,"none"
"BOLINGBROOKS CLOW INTL","Illinois",922,"none"
"UGNU-KUPARUK ARPT","Alaska",923,"none"
"WASHINGTON COUNTY MEMORIAL","Kansas",924,"none"
"NOME ARPT","Alaska",925,"none"
"SOUTHEAST TEXAS REGIONAL ARPT","Texas",926,"none"
"MILLINGTON REGIONAL JETPORT ARPT","Tennessee",927,"none"
"DONALDSON CENTER ARPT","South Carolina",928,"none"
"CORDOVA MUNICIPAL ARPT","Alaska",929,"none"
"LIVINGSTON COUNTY SPENCER J HARDY","Michigan",930,"none"
"SCOTT AFB/MIDAMERICA","Illinois",931,"none"
"KIRKSVILLE REGIONAL","Missouri",932,"none"
"FORT COLLINS-LOVELAND","Colorado",933,"none"
"SAN PEDRO SULA LA MESA","N/A",934,"none"
"HOMER ARPT","Alaska",935,"none"
"VALKARIA","Florida",936,"none"
"HANA ARPT","Hawaii",937,"none"
"SEBRING REGIONAL ARPT","Florida",938,"none"
"BAHRAIN INTL","N/A",939,"none"
"HENDERSON CITY-COUNTY ARPT","Kentucky",940,"none"
"CHADRON MUNICIPAL ARPT","Nebraska",941,"none"
"NEW BEDFORD REGIONAL ARPT","Massachusetts",942,"none"
"KIPNUK ARPT","Alaska",943,"none"
"RAS TANAJIB","N/A",944,"none"
"FREDERICK MUNICIPAL ARPT","Maryland",945,"none"
"GRIFFISS INTL","New York",946,"none"
"MANISTEE COUNTY-BLACKER ARPT","Michigan",947,"none"
"MAGNOLIA MUNICIPAL","Arkansas",948,"none"
"ROCK HILL (YORK CO) BRYANT FLD","South Carolina",949,"none"
"MC GUIRE AIR FORCE BASE","New Jersey",950,"none"
"MURTALA MUHAMMED","N/A",951,"none"
"NIAGARA FALLS INTL","New York",952,"none"
"LA CHINITA INTL","N/A",953,"none"
"MCCONNELL AIR FORCE BASE","Kansas",954,"none"
"SAN SALVADOR INTL","N/A",955,"none"
"KIT CARSON COUNTY","Colorado",956,"none"
"TRAVIS AIR FORCE BASE","California",957,"none"
"DOHA INTL","N/A",958,"none"
"WATERTOWN","South Dakota",959,"none"
"NEW SMYRNA BEACH MUNICIPAL ARPT","Florida",960,"none"
"BRITTON MUNICIPAL ARPT SD","South Dakota",961,"none"
"LOGAN-CACHE ARPT","Utah",962,"none"
"ARLINGTON MUNICIPAL ARPT (TX)","Washington",963,"none"
"VISALIA MUNICIPAL ARPT","California",964,"none"
"PHILIP BILLARD MUNICIPAL ARPT","Kansas",965,"none"
"MARSHFIELD MUNI/G HARLOW FLD","Massachusetts",966,"none"
"RUSSELLVILLE REGIONAL ARPT","Arkansas",967,"none"
"COLES COUNTY MEMORIAL ARPT","Illinois",968,"none"
"HARVEY FIELD","Washington",969,"none"
"ZAMPERINI FIELD ARPT","California",970,"none"
"POPLAR BLUFF MUNICIPAL","Missouri",971,"none"
"WAYNESVILLE-ST ROBERT REGIONAL FORNEY FIELD","Missouri",972,"none"
"HERNANDO COUNTY","Florida",973,"none"
"NEWPORT STATE ARPT","Rhode Island",974,"none"
"VANDENBERG ARPT","Florida",975,"none"
"ENTERPRISE MUNICIPAL ARPT","Oregon",976,"none"
"PROVINCETOWN MUNICIPAL ARPT","Massachusetts",977,"none"
"HIGGINSVILLE INDUSTRIAL MUNICIPAL ARPT","Missouri",978,"none"
"NORTH TEXAS REGIONAL ARPT","Texas",979,"none"
"NEVADA COUNTY AIR PARK","California",980,"none"
"HOMESTEAD AIR RESERVE BASE","Florida",981,"none"
"SOUTHEAST IOWA REGIONAL ARPT","Iowa",982,"none"
"CLAREMONT MUNICIPAL ARPT","New Hampshire",983,"none"
"ONTARIO MUNICIPAL ARPT","Oregon",984,"none"
"ELEFTHERIOS VENIZELOS INTL","N/A",985,"none"
"OPA-LOCKA EXECUTIVE ARPT","Florida",986,"none"
"CRAIG MUNICIPAL ARPT","Florida",987,"none"
"WILEY POST-WILL ROGERS MEM","Alaska",988,"none"
"LEE'S SUMMIT MUNICIPAL ARPT","Missouri",989,"none"
"WARSAW MUNICIPAL (IN)","Indiana",990,"none"
"ALPENA COUNTY REG","Michigan",991,"none"
"POMPANO BEACH AIRPARK","Florida",992,"none"
"ODESSA-SCHLEMEYER FIELD ARPT","Texas",993,"none"
"ALLIANCE MUNICIPAL ARPT","Nebraska",994,"none"
"GRANITE FALLS MUNICIPAL ARPT","Minnesota",995,"none"
