"airportName","state","aid","airportCode"
"JAMES M COX DAYTON INTL","Ohio",116,"none"
"PUERTO VALLARTA","N/A",117,"none"
"ALBUQUERQUE INTL","New Mexico",118,"none"
"MIAMI INTL","Florida",119,"none"
"JOSLIN FIELD - MAGIC VALLEY REGIONAL","Idaho",120,"none"
"GREATER PITTSBURGH","Pennsylvania",121,"none"
"TROY MUNICIPAL ARPT","Alabama",122,"none"
"SHEPPARD AIR FORCE BASE","Texas",123,"none"
"NEW ORLEANS INTL","Louisiana",124,"none"
"LAMBERT-ST LOUIS INTL","Missouri",125,"none"
"MINISTRO PISTARINI","N/A",126,"none"
"BRACKETT FIELD ARPT","California",127,"none"
"HOUSTON-HOBBY","Texas",128,"none"
"GEORGE BUSH INTERCONTINENTAL","Texas",129,"none"
"RENTON MUNICIPAL ARPT","Washington",130,"none"
"THE EASTERN IOWA ARPT","Iowa",131,"none"
"NORTH BEND MUNICIPAL","Oregon",132,"none"
"HARRISBURG INTL","Pennsylvania",133,"none"
"SANTA BARBARA MUNICIPAL","California",134,"none"
"BRADLEY INTL","Connecticut",135,"none"
"SAN DIEGO INTL","California",136,"none"
"YEAGER ARPT","West Virginia",137,"none"
"CHICAGO MIDWAY INTL ARPT","Illinois",138,"none"
"CHARLES DE GAULLE","N/A",139,"none"
"ARDMORE MUNICIPAL","Oklahoma",140,"none"
"SARASOTA-BRADENTON","Florida",141,"none"
"MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL","Quebec",142,"none"
"TALLAHASSEE REGIONAL","Florida",143,"none"
"UNALASKA ARPT","Alaska",144,"none"
"FULTON COUNTY ARPT - BROWN FIELD","Georgia",145,"none"
"GOLDEN TRIANGLE REGIONAL","Mississippi",146,"none"
"GULFPORT BILOXI REGIONAL","Mississippi",147,"none"
"MINETA SAN JOSE INTL","California",148,"none"
"HUNTSVILLE INTL","Alabama",149,"none"
"JAMESTOWN REGIONAL","North Dakota",150,"none"
"AIRBORNE AIRPARK","Ohio",151,"none"
"EVANSVILLE REGIONAL","Indiana",152,"none"
"SPOKANE INTERNATIONAL","Washington",153,"none"
"SMITH REYOLDS ARPT","North Carolina",154,"none"
"LITTLE RIVER ARPT","California",155,"none"
"CONCORD REGIONAL ARPT","North Carolina",156,"none"
"AMARILLO INTL","Texas",157,"none"
"COBB COUNTY ARPT-MC COLLUM FIELD","Georgia",158,"none"
"DANBURY MUNICIPAL ARPT","Connecticut",159,"none"
"RALPH WIEN MEMORIAL ARPT","Alaska",160,"none"
"COLUMBUS MUNICIPAL ARPT (IN)","Indiana",161,"none"
"VAN NUYS ARPT","California",162,"none"
"AUSTIN-BERGSTROM INTL","Texas",163,"none"
"OAKLAND/TROY ARPT","Michigan",164,"none"
"BURLINGTON INTL","Vermont",165,"none"
"KODIAK AIRPORT","Alaska",166,"none"
"NAPA COUNTY ARPT","California",167,"none"
"EXECUTIVE ARPT","Florida",168,"none"
"WHITEMAN AIRPORT","California",169,"none"
"SCHOLES INTL ARPT AT GALVESTON","Texas",170,"none"
"ADAMS FIELD ARPT","Arkansas",171,"none"
"MONTGOMERY FIELD ARPT","California",172,"none"
"PHOENIX DEER VALLEY ARPT","Arizona",173,"none"
"SKYLARK FIELD","Texas",174,"none"
"GREATER BINGHAMTON ARPT","New York",175,"none"
"KLEBERG COUNTY ARPT","Texas",176,"none"
